starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 30 19:04:10 2021	1612029850	0	43	43	38
Sat Jan 30 19:04:10 2021	1612029850	3	428	431	428
Sat Jan 30 19:04:10 2021	1612029850	3	482	485	482
Sat Jan 30 19:04:10 2021	1612029850	3	496	500	496
Sat Jan 30 19:04:10 2021	1612029850	3	523	527	523
Sat Jan 30 19:04:10 2021	1612029850	1	530	531	530
Sat Jan 30 19:04:10 2021	1612029850	1	532	533	531
Sat Jan 30 19:04:10 2021	1612029850	1	542	543	542
Sat Jan 30 19:04:10 2021	1612029850	2	568	570	568
Sat Jan 30 19:04:10 2021	1612029850	2	601	603	601
Sat Jan 30 19:04:10 2021	1612029850	2	608	611	608
Sat Jan 30 19:04:10 2021	1612029850	3	661	664	661
Sat Jan 30 19:04:10 2021	1612029850	2	669	671	669
Sat Jan 30 19:04:10 2021	1612029850	2	672	674	672
Sat Jan 30 19:04:10 2021	1612029850	2	718	720	718
Sat Jan 30 19:04:10 2021	1612029850	2	738	740	737
Sat Jan 30 19:04:10 2021	1612029850	3	740	743	739
Sat Jan 30 19:04:10 2021	1612029850	3	765	768	765
Sat Jan 30 19:04:10 2021	1612029850	3	814	817	813
Sat Jan 30 19:04:10 2021	1612029850	3	900	903	899
Sat Jan 30 19:04:15 2021	1612029855	0	1014	1014	1014
Sat Jan 30 19:04:10 2021	1612029850	1	1014	1015	1013
Sat Jan 30 19:04:15 2021	1612029855	0	1017	1017	1016
Sat Jan 30 19:04:15 2021	1612029855	0	1029	1029	1028
Sat Jan 30 19:04:10 2021	1612029850	2	1051	1052	1050
Sat Jan 30 19:04:10 2021	1612029850	2	1057	1059	1056
Sat Jan 30 19:04:10 2021	1612029850	3	1067	1071	1067
Sat Jan 30 19:04:10 2021	1612029850	1	1070	1072	1070
Sat Jan 30 19:04:10 2021	1612029850	2	1076	1078	1076
Sat Jan 30 19:04:10 2021	1612029850	1	1100	1101	1099
Sat Jan 30 19:04:10 2021	1612029850	2	1104	1107	1104
Sat Jan 30 19:04:15 2021	1612029855	0	1130	1130	1129
Sat Jan 30 19:04:15 2021	1612029855	0	1132	1132	1131
Sat Jan 30 19:04:15 2021	1612029855	0	1150	1150	1149
Sat Jan 30 19:04:35 2021	1612029875	0	1151	1151	1151
Sat Jan 30 19:04:10 2021	1612029850	2	1157	1158	1156
Sat Jan 30 19:04:11 2021	1612029851	0	1162	1163	1162
Sat Jan 30 19:04:15 2021	1612029855	1	1163	1164	1162
Sat Jan 30 19:04:11 2021	1612029851	0	1168	1168	1167
Sat Jan 30 19:04:15 2021	1612029855	0	1168	1169	1168
Sat Jan 30 19:04:10 2021	1612029850	3	1171	1174	1171
Sat Jan 30 19:04:11 2021	1612029851	0	1174	1174	1174
Sat Jan 30 19:04:11 2021	1612029851	0	1175	1175	1174
Sat Jan 30 19:04:10 2021	1612029850	2	1172	1175	1172
Sat Jan 30 19:04:15 2021	1612029855	0	1185	1185	1184
Sat Jan 30 19:04:10 2021	1612029850	2	1184	1186	1184
Sat Jan 30 19:04:10 2021	1612029850	3	1188	1190	1188
Sat Jan 30 19:04:10 2021	1612029850	2	1197	1199	1197
Sat Jan 30 19:04:10 2021	1612029850	1	1207	1208	1206
Sat Jan 30 19:04:10 2021	1612029850	3	1209	1211	1208
Sat Jan 30 19:04:15 2021	1612029855	0	1211	1211	1211
Sat Jan 30 19:04:40 2021	1612029880	0	1212	1213	1212
Sat Jan 30 19:04:41 2021	1612029881	0	1216	1216	1216
Sat Jan 30 19:04:16 2021	1612029856	0	1219	1219	1218
Sat Jan 30 19:04:15 2021	1612029855	0	1219	1219	1218
Sat Jan 30 19:04:15 2021	1612029855	0	1225	1225	1225
Sat Jan 30 19:04:10 2021	1612029850	2	1224	1226	1223
Sat Jan 30 19:04:11 2021	1612029851	0	1233	1233	1232
Sat Jan 30 19:04:10 2021	1612029850	3	1232	1235	1232
