starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 30 19:07:13 2021	1612030033	0	2797	2798	2797
Sat Jan 30 19:06:57 2021	1612030017	0	2799	2800	2799
Sat Jan 30 19:07:08 2021	1612030028	0	2802	2802	2801
Sat Jan 30 19:07:06 2021	1612030026	0	2802	2802	2802
Sat Jan 30 19:08:05 2021	1612030085	0	2812	2812	2812
Sat Jan 30 19:07:02 2021	1612030022	0	2819	2819	2819
Sat Jan 30 19:07:17 2021	1612030037	0	2821	2821	2820
Sat Jan 30 19:07:02 2021	1612030022	0	2821	2822	2821
Sat Jan 30 19:07:07 2021	1612030027	0	2822	2823	2822
Sat Jan 30 19:07:02 2021	1612030022	0	2824	2825	2824
Sat Jan 30 19:07:02 2021	1612030022	0	2826	2827	2826
Sat Jan 30 19:07:13 2021	1612030033	0	2828	2828	2828
Sat Jan 30 19:07:07 2021	1612030027	0	2828	2829	2828
Sat Jan 30 19:07:08 2021	1612030028	0	2828	2829	2828
Sat Jan 30 19:07:13 2021	1612030033	0	2829	2829	2828
Sat Jan 30 19:06:54 2021	1612030014	3	2827	2829	2826
Sat Jan 30 19:07:13 2021	1612030033	0	2829	2829	2829
Sat Jan 30 19:07:15 2021	1612030035	0	2830	2830	2829
Sat Jan 30 19:07:13 2021	1612030033	0	2830	2830	2830
Sat Jan 30 19:07:13 2021	1612030033	0	2831	2831	2830
Sat Jan 30 19:07:16 2021	1612030036	0	2831	2832	2831
Sat Jan 30 19:07:17 2021	1612030037	0	2831	2832	2831
Sat Jan 30 19:07:13 2021	1612030033	0	2832	2832	2831
Sat Jan 30 19:07:08 2021	1612030028	0	2832	2832	2831
Sat Jan 30 19:06:54 2021	1612030014	1	2831	2832	2831
Sat Jan 30 19:07:15 2021	1612030035	0	2834	2834	2833
Sat Jan 30 19:07:13 2021	1612030033	0	2835	2836	2835
Sat Jan 30 19:07:17 2021	1612030037	0	2835	2836	2835
Sat Jan 30 19:07:13 2021	1612030033	0	2835	2836	2835
Sat Jan 30 19:07:15 2021	1612030035	0	2839	2839	2838
Sat Jan 30 19:07:17 2021	1612030037	0	2839	2840	2839
Sat Jan 30 19:07:07 2021	1612030027	0	2841	2841	2840
Sat Jan 30 19:06:57 2021	1612030017	0	2843	2843	2843
Sat Jan 30 19:07:06 2021	1612030026	0	2844	2844	2843
Sat Jan 30 19:07:15 2021	1612030035	0	2848	2849	2848
Sat Jan 30 19:07:02 2021	1612030022	0	2854	2854	2854
Sat Jan 30 19:07:02 2021	1612030022	0	2854	2854	2854
Sat Jan 30 19:07:06 2021	1612030026	0	2856	2856	2856
Sat Jan 30 19:07:08 2021	1612030028	0	2857	2857	2856
Sat Jan 30 19:07:17 2021	1612030037	0	2859	2859	2859
Sat Jan 30 19:07:07 2021	1612030027	0	2860	2860	2859
Sat Jan 30 19:07:06 2021	1612030026	0	2861	2861	2861
Sat Jan 30 19:07:16 2021	1612030036	0	2863	2863	2862
Sat Jan 30 19:08:05 2021	1612030085	0	2864	2865	2864
Sat Jan 30 19:07:13 2021	1612030033	0	2867	2867	2867
Sat Jan 30 19:07:15 2021	1612030035	0	2869	2869	2868
Sat Jan 30 19:07:12 2021	1612030032	0	2869	2869	2869
Sat Jan 30 19:07:16 2021	1612030036	0	2869	2869	2869
Sat Jan 30 19:07:58 2021	1612030078	0	2870	2870	2869
Sat Jan 30 19:07:06 2021	1612030026	0	2879	2879	2878
Sat Jan 30 19:07:13 2021	1612030033	0	2881	2881	2880
Sat Jan 30 19:07:14 2021	1612030034	0	2881	2881	2880
Sat Jan 30 19:07:15 2021	1612030035	0	2886	2886	2886
Sat Jan 30 19:07:15 2021	1612030035	0	2889	2889	2888
Sat Jan 30 19:07:13 2021	1612030033	0	2890	2891	2890
Sat Jan 30 19:07:02 2021	1612030022	0	2891	2891	2891
Sat Jan 30 19:07:07 2021	1612030027	0	2894	2895	2894
Sat Jan 30 19:07:17 2021	1612030037	0	2895	2895	2895
Sat Jan 30 19:07:15 2021	1612030035	0	2897	2897	2896
Sat Jan 30 19:07:13 2021	1612030033	0	2898	2899	2898
Sat Jan 30 19:07:13 2021	1612030033	0	2901	2902	2901
Sat Jan 30 19:07:17 2021	1612030037	0	2907	2908	2907
Sat Jan 30 19:07:13 2021	1612030033	0	2907	2908	2906
Sat Jan 30 19:06:57 2021	1612030017	0	2907	2908	2907
Sat Jan 30 19:07:08 2021	1612030028	0	2912	2912	2911
Sat Jan 30 19:07:02 2021	1612030022	0	2915	2915	2914
Sat Jan 30 19:07:07 2021	1612030027	0	2915	2916	2915
Sat Jan 30 19:07:15 2021	1612030035	0	2916	2916	2916
Sat Jan 30 19:07:15 2021	1612030035	0	2916	2917	2916
Sat Jan 30 19:07:02 2021	1612030022	0	2918	2918	2917
Sat Jan 30 19:07:15 2021	1612030035	0	2918	2918	2917
Sat Jan 30 19:07:14 2021	1612030034	0	2919	2919	2918
Sat Jan 30 19:07:08 2021	1612030028	0	2920	2920	2919
Sat Jan 30 19:07:17 2021	1612030037	0	2922	2922	2921
Sat Jan 30 19:07:13 2021	1612030033	0	2922	2923	2922
Sat Jan 30 19:07:13 2021	1612030033	0	2922	2923	2922
Sat Jan 30 19:07:07 2021	1612030027	0	2923	2923	2923
Sat Jan 30 19:07:14 2021	1612030034	0	2924	2924	2924
Sat Jan 30 19:07:06 2021	1612030026	0	2926	2926	2925
Sat Jan 30 19:07:12 2021	1612030032	0	2927	2927	2926
Sat Jan 30 19:06:54 2021	1612030014	2	2926	2928	2925
Sat Jan 30 19:07:02 2021	1612030022	0	2931	2931	2930
Sat Jan 30 19:07:16 2021	1612030036	0	2934	2934	2934
Sat Jan 30 19:07:13 2021	1612030033	0	2934	2934	2934
Sat Jan 30 19:07:08 2021	1612030028	0	2935	2935	2933
Sat Jan 30 19:07:16 2021	1612030036	0	2935	2935	2934
Sat Jan 30 19:07:07 2021	1612030027	0	2936	2936	2935
Sat Jan 30 19:07:17 2021	1612030037	0	2936	2936	2936
Sat Jan 30 19:07:17 2021	1612030037	0	2936	2937	2936
Sat Jan 30 19:07:14 2021	1612030034	0	2940	2940	2939
Sat Jan 30 19:07:12 2021	1612030032	0	2942	2942	2942
Sat Jan 30 19:07:13 2021	1612030033	0	2943	2943	2943
Sat Jan 30 19:07:13 2021	1612030033	0	2946	2946	2945
Sat Jan 30 19:07:17 2021	1612030037	0	2948	2948	2947
Sat Jan 30 19:07:13 2021	1612030033	0	2949	2949	2948
Sat Jan 30 19:07:13 2021	1612030033	0	2950	2950	2949
Sat Jan 30 19:07:15 2021	1612030035	0	2951	2951	2951
Sat Jan 30 19:07:15 2021	1612030035	0	2958	2958	2957
Sat Jan 30 19:07:02 2021	1612030022	0	2959	2959	2958
Sat Jan 30 19:07:13 2021	1612030033	0	2960	2960	2959
Sat Jan 30 19:07:15 2021	1612030035	0	2960	2960	2960
Sat Jan 30 19:07:13 2021	1612030033	0	2960	2961	2960
Sat Jan 30 19:07:06 2021	1612030026	0	2964	2964	2963
Sat Jan 30 19:07:15 2021	1612030035	0	2971	2971	2970
Sat Jan 30 19:07:14 2021	1612030034	0	2974	2974	2973
Sat Jan 30 19:07:15 2021	1612030035	0	2974	2974	2974
Sat Jan 30 19:07:17 2021	1612030037	0	2977	2977	2977
Sat Jan 30 19:07:01 2021	1612030021	0	2978	2978	2977
Sat Jan 30 19:07:08 2021	1612030028	0	2977	2978	2977
Sat Jan 30 19:07:13 2021	1612030033	0	2983	2983	2983
Sat Jan 30 19:07:15 2021	1612030035	0	2986	2986	2986
Sat Jan 30 19:07:08 2021	1612030028	0	2988	2988	2987
Sat Jan 30 19:07:17 2021	1612030037	0	2988	2988	2987
Sat Jan 30 19:07:08 2021	1612030028	0	2989	2989	2988
Sat Jan 30 19:07:15 2021	1612030035	0	2990	2990	2989
Sat Jan 30 19:07:14 2021	1612030034	0	2994	2995	2994
Sat Jan 30 19:07:03 2021	1612030023	0	2996	2996	2995
Sat Jan 30 19:07:08 2021	1612030028	0	2997	2997	2997
Sat Jan 30 19:07:08 2021	1612030028	0	2997	2997	2997
Sat Jan 30 19:07:03 2021	1612030023	0	2998	2998	2997
Sat Jan 30 19:07:16 2021	1612030036	0	2998	2998	2998
Sat Jan 30 19:07:17 2021	1612030037	0	3000	3000	2999
Sat Jan 30 19:07:14 2021	1612030034	0	3001	3002	3001
Sat Jan 30 19:07:14 2021	1612030034	0	3005	3005	3005
Sat Jan 30 19:07:15 2021	1612030035	0	3005	3005	3005
Sat Jan 30 19:07:02 2021	1612030022	0	3006	3006	3005
Sat Jan 30 19:07:12 2021	1612030032	0	3008	3009	3008
Sat Jan 30 19:07:03 2021	1612030023	0	3010	3011	3010
Sat Jan 30 19:07:15 2021	1612030035	0	3011	3011	3011
Sat Jan 30 19:07:16 2021	1612030036	0	3012	3012	3011
Sat Jan 30 19:07:13 2021	1612030033	0	3013	3014	3013
Sat Jan 30 19:07:16 2021	1612030036	0	3014	3014	3013
Sat Jan 30 19:07:06 2021	1612030026	0	3016	3016	3015
Sat Jan 30 19:07:13 2021	1612030033	0	3017	3018	3017
Sat Jan 30 19:07:33 2021	1612030053	0	3018	3018	3017
Sat Jan 30 19:07:16 2021	1612030036	0	3020	3021	3020
Sat Jan 30 19:07:01 2021	1612030021	0	3021	3021	3021
Sat Jan 30 19:07:16 2021	1612030036	0	3021	3022	3021
Sat Jan 30 19:07:01 2021	1612030021	0	3022	3022	3022
Sat Jan 30 19:07:06 2021	1612030026	0	3024	3024	3023
Sat Jan 30 19:08:05 2021	1612030085	0	3024	3024	3024
Sat Jan 30 19:07:14 2021	1612030034	0	3025	3025	3024
Sat Jan 30 19:07:33 2021	1612030053	0	3027	3027	3026
Sat Jan 30 19:07:14 2021	1612030034	0	3027	3027	3026
Sat Jan 30 19:07:02 2021	1612030022	0	3028	3028	3027
Sat Jan 30 19:07:16 2021	1612030036	0	3028	3028	3028
Sat Jan 30 19:07:16 2021	1612030036	0	3031	3031	3031
Sat Jan 30 19:07:03 2021	1612030023	0	3031	3031	3031
Sat Jan 30 19:07:55 2021	1612030075	0	3032	3032	3031
Sat Jan 30 19:07:08 2021	1612030028	0	3032	3032	3031
Sat Jan 30 19:07:14 2021	1612030034	0	3032	3032	3032
Sat Jan 30 19:07:12 2021	1612030032	0	3034	3034	3033
Sat Jan 30 19:07:14 2021	1612030034	0	3035	3035	3034
Sat Jan 30 19:07:14 2021	1612030034	0	3040	3040	3039
Sat Jan 30 19:07:01 2021	1612030021	0	3040	3040	3039
Sat Jan 30 19:06:57 2021	1612030017	0	3041	3041	3040
Sat Jan 30 19:08:00 2021	1612030080	0	3044	3044	3044
Sat Jan 30 19:07:15 2021	1612030035	0	3046	3047	3046
Sat Jan 30 19:07:14 2021	1612030034	0	3048	3048	3047
Sat Jan 30 19:07:06 2021	1612030026	0	3052	3052	3052
Sat Jan 30 19:07:14 2021	1612030034	0	3052	3053	3052
Sat Jan 30 19:07:03 2021	1612030023	0	3055	3055	3055
Sat Jan 30 19:06:54 2021	1612030014	1	3056	3057	3056
Sat Jan 30 19:07:02 2021	1612030022	0	3057	3058	3057
Sat Jan 30 19:07:14 2021	1612030034	0	3059	3059	3059
Sat Jan 30 19:07:15 2021	1612030035	0	3063	3063	3063
Sat Jan 30 19:07:33 2021	1612030053	0	3069	3069	3068
Sat Jan 30 19:07:08 2021	1612030028	0	3070	3071	3070
Sat Jan 30 19:07:08 2021	1612030028	0	3071	3071	3071
Sat Jan 30 19:07:14 2021	1612030034	0	3072	3072	3071
Sat Jan 30 19:07:16 2021	1612030036	0	3072	3073	3072
Sat Jan 30 19:07:08 2021	1612030028	0	3073	3073	3071
Sat Jan 30 19:07:03 2021	1612030023	0	3076	3076	3075
Sat Jan 30 19:07:14 2021	1612030034	0	3076	3076	3076
Sat Jan 30 19:07:15 2021	1612030035	0	3076	3076	3076
Sat Jan 30 19:07:33 2021	1612030053	0	3079	3079	3078
Sat Jan 30 19:07:01 2021	1612030021	0	3079	3079	3078
Sat Jan 30 19:07:08 2021	1612030028	0	3082	3083	3082
Sat Jan 30 19:07:14 2021	1612030034	0	3085	3085	3084
Sat Jan 30 19:07:33 2021	1612030053	0	3087	3087	3086
Sat Jan 30 19:08:05 2021	1612030085	0	3090	3090	3089
Sat Jan 30 19:07:08 2021	1612030028	0	3094	3094	3093
Sat Jan 30 19:07:33 2021	1612030053	0	3103	3103	3103
Sat Jan 30 19:07:17 2021	1612030037	0	3103	3104	3103
Sat Jan 30 19:07:08 2021	1612030028	0	3105	3105	3105
Sat Jan 30 19:07:33 2021	1612030053	0	3107	3108	3107
Sat Jan 30 19:07:16 2021	1612030036	0	3108	3109	3105
Sat Jan 30 19:07:02 2021	1612030022	0	3109	3109	3108
Sat Jan 30 19:07:04 2021	1612030024	0	3111	3111	3111
Sat Jan 30 19:07:03 2021	1612030023	0	3116	3116	3116
Sat Jan 30 19:07:15 2021	1612030035	0	3122	3122	3122
Sat Jan 30 19:07:03 2021	1612030023	0	3122	3122	3122
Sat Jan 30 19:07:33 2021	1612030053	0	3125	3125	3125
Sat Jan 30 19:07:06 2021	1612030026	0	3127	3128	3127
Sat Jan 30 19:07:33 2021	1612030053	0	3128	3128	3128
Sat Jan 30 19:07:02 2021	1612030022	0	3129	3129	3128
Sat Jan 30 19:07:15 2021	1612030035	0	3132	3133	3132
Sat Jan 30 19:07:12 2021	1612030032	0	3133	3133	3132
Sat Jan 30 19:07:17 2021	1612030037	0	3135	3135	3134
Sat Jan 30 19:07:14 2021	1612030034	0	3142	3142	3141
Sat Jan 30 19:07:05 2021	1612030025	0	3142	3142	3142
Sat Jan 30 19:07:33 2021	1612030053	0	3142	3142	3142
Sat Jan 30 19:07:03 2021	1612030023	0	3144	3144	3143
Sat Jan 30 19:07:17 2021	1612030037	0	3145	3145	3145
Sat Jan 30 19:07:05 2021	1612030025	0	3154	3154	3153
Sat Jan 30 19:07:33 2021	1612030053	0	3155	3155	3154
Sat Jan 30 19:07:09 2021	1612030029	0	3157	3158	3157
Sat Jan 30 19:07:06 2021	1612030026	0	3158	3158	3157
Sat Jan 30 19:07:06 2021	1612030026	0	3158	3158	3158
Sat Jan 30 19:07:06 2021	1612030026	0	3158	3159	3158
Sat Jan 30 19:07:05 2021	1612030025	0	3162	3162	3162
Sat Jan 30 19:07:17 2021	1612030037	0	3165	3165	3165
Sat Jan 30 19:08:05 2021	1612030085	0	3165	3165	3165
Sat Jan 30 19:07:34 2021	1612030054	0	3178	3179	3178
Sat Jan 30 19:07:33 2021	1612030053	0	3182	3182	3182
Sat Jan 30 19:07:05 2021	1612030025	0	3183	3183	3182
Sat Jan 30 19:07:17 2021	1612030037	0	3183	3183	3183
Sat Jan 30 19:07:34 2021	1612030054	0	3184	3184	3183
Sat Jan 30 19:07:11 2021	1612030031	0	3185	3185	3184
Sat Jan 30 19:06:54 2021	1612030014	3	3184	3187	3184
Sat Jan 30 19:08:05 2021	1612030085	0	3190	3190	3190
Sat Jan 30 19:07:33 2021	1612030053	0	3191	3191	3190
Sat Jan 30 19:06:57 2021	1612030017	0	3193	3193	3192
Sat Jan 30 19:07:11 2021	1612030031	0	3193	3193	3193
Sat Jan 30 19:07:08 2021	1612030028	0	3194	3194	3193
Sat Jan 30 19:06:57 2021	1612030017	0	3196	3197	3196
Sat Jan 30 19:07:06 2021	1612030026	0	3198	3198	3197
Sat Jan 30 19:07:11 2021	1612030031	0	3200	3200	3199
Sat Jan 30 19:07:04 2021	1612030024	0	3200	3200	3199
Sat Jan 30 19:07:05 2021	1612030025	0	3202	3202	3202
Sat Jan 30 19:07:08 2021	1612030028	0	3205	3205	3204
Sat Jan 30 19:07:12 2021	1612030032	0	3207	3207	3207
Sat Jan 30 19:07:33 2021	1612030053	0	3210	3210	3209
Sat Jan 30 19:07:09 2021	1612030029	0	3212	3213	3212
Sat Jan 30 19:07:18 2021	1612030038	0	3216	3216	3215
Sat Jan 30 19:07:04 2021	1612030024	0	3217	3218	3217
Sat Jan 30 19:07:21 2021	1612030041	0	3219	3219	3218
Sat Jan 30 19:07:03 2021	1612030023	0	3222	3222	3221
Sat Jan 30 19:07:12 2021	1612030032	0	3223	3224	3223
Sat Jan 30 19:07:17 2021	1612030037	0	3224	3224	3223
Sat Jan 30 19:06:57 2021	1612030017	0	3224	3225	3223
Sat Jan 30 19:07:04 2021	1612030024	0	3226	3226	3225
Sat Jan 30 19:07:03 2021	1612030023	0	3227	3227	3227
Sat Jan 30 19:07:21 2021	1612030041	0	3230	3230	3230
Sat Jan 30 19:07:04 2021	1612030024	0	3230	3231	3230
Sat Jan 30 19:07:35 2021	1612030055	0	3231	3231	3230
Sat Jan 30 19:07:08 2021	1612030028	0	3232	3232	3231
Sat Jan 30 19:07:11 2021	1612030031	0	3232	3232	3231
Sat Jan 30 19:07:33 2021	1612030053	0	3232	3232	3231
Sat Jan 30 19:07:03 2021	1612030023	0	3234	3234	3233
Sat Jan 30 19:07:50 2021	1612030070	0	3234	3235	3234
Sat Jan 30 19:07:17 2021	1612030037	0	3235	3235	3235
