starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 30 19:06:54 2021	1612030014	0	82	82	77
Sat Jan 30 19:08:12 2021	1612030092	0	984	984	984
Sat Jan 30 19:08:09 2021	1612030089	0	984	984	984
Sat Jan 30 19:08:12 2021	1612030092	0	1034	1034	1034
Sat Jan 30 19:08:12 2021	1612030092	0	1059	1060	1059
Sat Jan 30 19:08:12 2021	1612030092	0	1068	1068	1067
Sat Jan 30 19:08:12 2021	1612030092	0	1082	1082	1082
Sat Jan 30 19:08:12 2021	1612030092	0	1084	1084	1084
Sat Jan 30 19:08:11 2021	1612030091	0	1120	1120	1119
Sat Jan 30 19:08:11 2021	1612030091	0	1142	1142	1141
Sat Jan 30 19:08:11 2021	1612030091	0	1156	1156	1156
Sat Jan 30 19:08:11 2021	1612030091	0	1200	1200	1199
Sat Jan 30 19:08:11 2021	1612030091	0	1290	1290	1290
Sat Jan 30 19:08:11 2021	1612030091	0	1340	1340	1339
Sat Jan 30 19:08:11 2021	1612030091	0	1442	1442	1441
Sat Jan 30 19:08:11 2021	1612030091	0	1477	1477	1476
Sat Jan 30 19:08:11 2021	1612030091	0	1481	1481	1480
Sat Jan 30 19:08:03 2021	1612030083	0	1512	1513	1512
Sat Jan 30 19:08:04 2021	1612030084	0	1519	1519	1518
Sat Jan 30 19:08:11 2021	1612030091	0	1520	1520	1520
Sat Jan 30 19:08:04 2021	1612030084	0	1538	1538	1537
Sat Jan 30 19:08:10 2021	1612030090	0	1552	1552	1551
Sat Jan 30 19:08:11 2021	1612030091	0	1556	1556	1555
Sat Jan 30 19:08:11 2021	1612030091	0	1574	1574	1573
Sat Jan 30 19:08:11 2021	1612030091	0	1595	1596	1595
Sat Jan 30 19:08:10 2021	1612030090	0	1599	1599	1598
Sat Jan 30 19:08:11 2021	1612030091	0	1605	1605	1604
Sat Jan 30 19:08:09 2021	1612030089	0	1607	1607	1607
Sat Jan 30 19:08:10 2021	1612030090	0	1615	1615	1614
Sat Jan 30 19:08:10 2021	1612030090	0	1616	1616	1616
Sat Jan 30 19:08:04 2021	1612030084	0	1617	1617	1616
Sat Jan 30 19:08:04 2021	1612030084	0	1618	1619	1617
Sat Jan 30 19:08:03 2021	1612030083	0	1619	1619	1618
Sat Jan 30 19:08:04 2021	1612030084	0	1634	1634	1634
Sat Jan 30 19:08:10 2021	1612030090	0	1636	1636	1635
Sat Jan 30 19:08:10 2021	1612030090	0	1641	1641	1640
Sat Jan 30 19:08:03 2021	1612030083	0	1642	1642	1641
Sat Jan 30 19:08:10 2021	1612030090	0	1650	1650	1649
Sat Jan 30 19:08:10 2021	1612030090	0	1651	1651	1650
Sat Jan 30 19:08:10 2021	1612030090	0	1653	1654	1653
Sat Jan 30 19:08:03 2021	1612030083	0	1657	1657	1656
Sat Jan 30 19:08:10 2021	1612030090	0	1658	1659	1658
Sat Jan 30 19:08:04 2021	1612030084	0	1663	1663	1662
Sat Jan 30 19:08:03 2021	1612030083	0	1674	1674	1673
Sat Jan 30 19:08:03 2021	1612030083	0	1679	1679	1670
Sat Jan 30 19:08:09 2021	1612030089	0	1683	1683	1683
Sat Jan 30 19:08:10 2021	1612030090	0	1687	1687	1686
Sat Jan 30 19:08:03 2021	1612030083	0	1703	1704	1703
Sat Jan 30 19:08:10 2021	1612030090	0	1722	1722	1721
Sat Jan 30 19:08:10 2021	1612030090	0	1723	1724	1723
Sat Jan 30 19:08:03 2021	1612030083	0	1758	1758	1757
Sat Jan 30 19:08:06 2021	1612030086	0	1770	1771	1770
Sat Jan 30 19:08:03 2021	1612030083	0	1778	1778	1777
Sat Jan 30 19:08:03 2021	1612030083	0	1789	1789	1787
Sat Jan 30 19:08:03 2021	1612030083	0	1844	1844	1843
Sat Jan 30 19:08:03 2021	1612030083	0	1848	1848	1847
Sat Jan 30 19:08:07 2021	1612030087	0	1867	1867	1867
Sat Jan 30 19:07:55 2021	1612030075	0	1875	1875	1875
Sat Jan 30 19:08:02 2021	1612030082	0	1935	1936	1935
Sat Jan 30 19:08:08 2021	1612030088	0	1994	1994	1994
Sat Jan 30 19:08:09 2021	1612030089	0	2004	2004	2003
Sat Jan 30 19:08:09 2021	1612030089	0	2008	2008	2007
Sat Jan 30 19:08:01 2021	1612030081	0	2023	2023	2023
Sat Jan 30 19:08:09 2021	1612030089	0	2054	2054	2053
Sat Jan 30 19:08:08 2021	1612030088	0	2068	2069	2068
Sat Jan 30 19:08:01 2021	1612030081	0	2070	2070	2069
Sat Jan 30 19:08:01 2021	1612030081	0	2087	2088	2087
Sat Jan 30 19:08:01 2021	1612030081	0	2097	2097	2096
Sat Jan 30 19:08:01 2021	1612030081	0	2099	2099	2099
Sat Jan 30 19:08:01 2021	1612030081	0	2105	2105	2104
Sat Jan 30 19:08:01 2021	1612030081	0	2106	2106	2105
Sat Jan 30 19:08:08 2021	1612030088	0	2109	2110	2109
Sat Jan 30 19:08:08 2021	1612030088	0	2121	2121	2120
Sat Jan 30 19:08:01 2021	1612030081	0	2129	2129	2128
Sat Jan 30 19:08:01 2021	1612030081	0	2129	2129	2128
Sat Jan 30 19:08:07 2021	1612030087	0	2132	2133	2132
Sat Jan 30 19:08:01 2021	1612030081	0	2133	2134	2133
Sat Jan 30 19:08:01 2021	1612030081	0	2134	2134	2133
Sat Jan 30 19:08:08 2021	1612030088	0	2142	2142	2133
Sat Jan 30 19:08:08 2021	1612030088	0	2144	2145	2144
Sat Jan 30 19:08:01 2021	1612030081	0	2148	2148	2147
Sat Jan 30 19:08:08 2021	1612030088	0	2151	2151	2148
Sat Jan 30 19:08:08 2021	1612030088	0	2152	2152	2151
Sat Jan 30 19:08:08 2021	1612030088	0	2156	2156	2155
Sat Jan 30 19:08:08 2021	1612030088	0	2164	2165	2164
Sat Jan 30 19:08:07 2021	1612030087	0	2169	2169	2168
Sat Jan 30 19:08:08 2021	1612030088	0	2180	2180	2179
Sat Jan 30 19:08:07 2021	1612030087	0	2185	2185	2185
Sat Jan 30 19:08:07 2021	1612030087	0	2203	2204	2203
Sat Jan 30 19:06:57 2021	1612030017	0	2207	2207	2207
Sat Jan 30 19:08:08 2021	1612030088	0	2215	2215	2215
Sat Jan 30 19:08:07 2021	1612030087	0	2222	2223	2222
Sat Jan 30 19:08:08 2021	1612030088	0	2231	2231	2231
Sat Jan 30 19:08:07 2021	1612030087	0	2244	2244	2243
Sat Jan 30 19:08:01 2021	1612030081	0	2253	2253	2252
Sat Jan 30 19:06:54 2021	1612030014	1	2257	2258	2257
Sat Jan 30 19:08:06 2021	1612030086	0	2269	2270	2269
Sat Jan 30 19:08:07 2021	1612030087	0	2281	2281	2280
Sat Jan 30 19:08:01 2021	1612030081	0	2314	2314	2313
Sat Jan 30 19:08:00 2021	1612030080	0	2321	2321	2321
Sat Jan 30 19:06:54 2021	1612030014	1	2343	2344	2343
Sat Jan 30 19:08:00 2021	1612030080	0	2359	2359	2358
Sat Jan 30 19:08:06 2021	1612030086	0	2383	2383	2382
Sat Jan 30 19:06:57 2021	1612030017	0	2402	2402	2402
Sat Jan 30 19:06:54 2021	1612030014	2	2402	2404	2401
Sat Jan 30 19:08:02 2021	1612030082	0	2426	2426	2426
Sat Jan 30 19:06:54 2021	1612030014	2	2425	2428	2425
Sat Jan 30 19:08:02 2021	1612030082	0	2428	2428	2428
Sat Jan 30 19:06:54 2021	1612030014	2	2433	2435	2432
Sat Jan 30 19:06:54 2021	1612030014	2	2449	2451	2448
Sat Jan 30 19:06:54 2021	1612030014	3	2449	2452	2448
Sat Jan 30 19:06:54 2021	1612030014	1	2485	2485	2484
Sat Jan 30 19:06:54 2021	1612030014	1	2486	2486	2485
Sat Jan 30 19:08:00 2021	1612030080	0	2497	2497	2496
Sat Jan 30 19:06:54 2021	1612030014	2	2501	2503	2500
Sat Jan 30 19:06:54 2021	1612030014	2	2514	2516	2514
Sat Jan 30 19:08:06 2021	1612030086	0	2520	2521	2520
Sat Jan 30 19:08:00 2021	1612030080	0	2524	2524	2523
Sat Jan 30 19:06:54 2021	1612030014	2	2527	2528	2526
Sat Jan 30 19:06:54 2021	1612030014	1	2540	2541	2540
Sat Jan 30 19:08:00 2021	1612030080	0	2542	2542	2541
Sat Jan 30 19:06:54 2021	1612030014	2	2544	2545	2543
Sat Jan 30 19:08:04 2021	1612030084	0	2549	2549	2548
Sat Jan 30 19:06:54 2021	1612030014	1	2550	2551	2550
Sat Jan 30 19:06:54 2021	1612030014	2	2559	2560	2558
Sat Jan 30 19:06:54 2021	1612030014	2	2563	2565	2562
Sat Jan 30 19:08:00 2021	1612030080	0	2572	2572	2571
Sat Jan 30 19:06:54 2021	1612030014	2	2573	2575	2573
Sat Jan 30 19:08:04 2021	1612030084	0	2593	2594	2593
Sat Jan 30 19:08:02 2021	1612030082	0	2601	2602	2601
Sat Jan 30 19:06:54 2021	1612030014	2	2622	2624	2621
Sat Jan 30 19:08:04 2021	1612030084	0	2642	2642	2641
Sat Jan 30 19:08:00 2021	1612030080	0	2650	2650	2650
Sat Jan 30 19:08:04 2021	1612030084	0	2665	2665	2665
Sat Jan 30 19:06:57 2021	1612030017	0	2667	2667	2666
Sat Jan 30 19:06:57 2021	1612030017	0	2668	2668	2668
Sat Jan 30 19:08:02 2021	1612030082	0	2673	2674	2673
Sat Jan 30 19:08:05 2021	1612030085	0	2677	2678	2677
Sat Jan 30 19:07:07 2021	1612030027	0	2679	2679	2678
Sat Jan 30 19:06:57 2021	1612030017	0	2690	2690	2689
Sat Jan 30 19:08:05 2021	1612030085	0	2694	2694	2693
Sat Jan 30 19:08:00 2021	1612030080	0	2700	2700	2699
Sat Jan 30 19:08:04 2021	1612030084	0	2707	2707	2706
Sat Jan 30 19:07:07 2021	1612030027	0	2714	2715	2714
Sat Jan 30 19:07:51 2021	1612030071	0	2721	2721	2721
Sat Jan 30 19:07:07 2021	1612030027	0	2728	2728	2727
Sat Jan 30 19:07:07 2021	1612030027	0	2729	2729	2728
Sat Jan 30 19:08:04 2021	1612030084	0	2731	2731	2730
Sat Jan 30 19:06:57 2021	1612030017	0	2744	2745	2744
Sat Jan 30 19:08:05 2021	1612030085	0	2750	2751	2750
Sat Jan 30 19:08:05 2021	1612030085	0	2750	2751	2750
Sat Jan 30 19:07:02 2021	1612030022	0	2763	2763	2762
Sat Jan 30 19:08:06 2021	1612030086	0	2763	2763	2763
Sat Jan 30 19:08:04 2021	1612030084	1	2764	2765	2764
Sat Jan 30 19:07:07 2021	1612030027	0	2773	2773	2772
Sat Jan 30 19:07:07 2021	1612030027	0	2774	2774	2774
Sat Jan 30 19:07:06 2021	1612030026	0	2780	2780	2779
Sat Jan 30 19:06:54 2021	1612030014	1	2786	2787	2785
